id;max_N;c_type
10;1000;CD
40;1000;CM
50;1000;CM
70;1000;CD
80;1000;CO
100;1000;CO
120;1000;CO
150;1000;CO
170;1000;CO
190;1000;CO
200;1000;CO
210;1000;CO
230;1000;CO
250;1000;CO
270;1000;CO
300;1000;CO
320;1000;CO
330;1000;CO
340;1000;CO
350;1000;CO
370;1000;CO
390;1000;CO
420;1000;CO
440;1000;CO
470;1000;CO
480;1000;CO
500;1000;CO
520;1000;CO
540;99999;CR
550;99999;CS
560;1000;CO
570;99999;CS
11;1000;CO
41;1000;CD
51;1000;CD
71;1000;CO
81;1000;CO
101;1000;CO
121;1000;CO
151;1000;CO
171;1000;CO
191;1000;CO
201;1000;CO
211;1000;CO
231;1000;CO
251;1000;CO
301;1000;CO
321;1000;CO
331;1000;CO
341;1000;CD
351;1000;CO
371;1000;CO
391;1000;CO
421;1000;CO
441;1000;CO
471;1000;CO
481;1000;CO
501;1000;CD
521;1000;CO
541;99999;CS
551;99999;CR
561;1000;CO
571;99999;CR
581;400;CQ
591;220;CC
601;400;CQ
611;200;CQ
621;40;CC
631;200;CQ
580;200;CQ
590;40;CC
600;200;CQ
640;99999;CR
641;99999;CS
650;99999;CR
651;99999;CS
660;99999;CR
661;99999;CS
