start;end;type
10;40;D
10;70;D
10;580;D
580;590;C
590;600;O
600;70;M
40;50;M
50;120;O
70;80;D
70;200;D
80;100;D
80;210;D
100;120;D
100;150;D
120;170;M
150;170;D
150;230;D
170;190;D
170;250;D
190;560;D
190;330;D
200;340;O
210;230;D
210;350;D
230;250;D
230;300;D
230;320;D
250;320;D
250;330;D
300;370;M
320;390;M
330;470;O
340;480;M
350;370;D
350;420;D
370;390;D
370;440;D
390;520;O
420;440;D
420;480;D
440;500;D
440;520;D
470;520;M
500;520;M
520;550;D
520;611;D
540;10;R
560;570;S
631;471;D
631;391;D
631;441;D
621;631;O
611;621;C
601;191;D
601;330;D
591;601;O
581;591;C
571;561;R
561;191;D
561;330;D
561;581;D
551;521;R
11;541;S
521;611;D
521;441;D
521;391;D
521;501;D
521;471;D
501;481;D
501;441;D
501;661;D
481;421;D
481;341;D
471;331;O
441;371;D
441;421;D
421;351;M
391;321;D
391;371;D
371;301;D
371;351;D
351;211;M
341;201;O
331;191;D
331;560;D
331;251;D
321;251;D
321;231;D
301;231;M
251;231;D
251;171;D
231;151;D
231;211;D
211;81;M
201;71;M
191;171;M
171;151;D
171;121;D
151;101;M
121;51;D
121;101;D
101;81;M
81;71;M
71;11;M
51;651;D
51;41;D
41;11;D
41;641;D
640;40;M
650;50;M
660;500;R
560;581;D
