id_od;energy_level;0;
1;1;0;
1;2;0;
1;3;2;
1;4;2;
1;5;2;
1;6;6;
1;7;0;
1;8;0;
1;9;22;
1;10;22;
1;11;22;
1;12;22;
1;13;22;
1;14;22;
1;15;22;
1;16;34;200
2;1;0;
2;2;0;
2;3;2;
2;4;2;
2;5;2;
2;6;0;
2;7;0;
2;8;0;
2;9;6;
2;10;26;
2;11;26;
2;12;26;
2;13;26;
2;14;26;
2;15;26;
2;16;32;200
3;1;0;
3;2;0;
3;3;2;
3;4;2;
3;5;2;
3;6;6;
3;7;0;
3;8;0;
3;9;22;
3;10;22;
3;11;22;
3;12;22;
3;13;22;
3;14;22;
3;15;22;
3;16;34;
4;1;0;
4;2;0;
4;3;2;
4;4;2;
4;5;2;
4;6;0;
4;7;0;
4;8;0;
4;9;6;
4;10;26;
4;11;26;
4;12;26;
4;13;26;
4;14;26;
4;15;26;
4;16;32;
5;1;0;
5;2;0;
5;3;2;
5;4;2;
5;5;2;
5;6;0;
5;7;0;
5;8;0;
5;9;6;
5;10;26;
5;11;26;
5;12;26;
5;13;26;
5;14;26;
5;15;26;
5;16;32;
6;1;0;
6;2;0;
6;3;2;
6;4;2;
6;5;2;
6;6;0;
6;7;0;
6;8;0;
6;9;6;
6;10;26;
6;11;26;
6;12;26;
6;13;26;
6;14;26;
6;15;26;
6;16;32;
7;1;0;
7;2;0;
7;3;0;
7;4;0;
7;5;0;
7;6;0;
7;7;0;
7;8;0;
7;9;0;
7;10;0;
7;11;0;
7;12;0;
7;13;0;
7;14;0;
7;15;0;
7;16;20;
8;1;0;
8;2;0;
8;3;0;
8;4;0;
8;5;0;
8;6;0;
8;7;0;
8;8;0;
8;9;0;
8;10;0;
8;11;0;
8;12;0;
8;13;0;
8;14;0;
8;15;0;
8;16;20;
9;1;0;
9;2;0;
9;3;0;
9;4;0;
9;5;0;
9;6;0;
9;7;0;
9;8;0;
9;9;0;
9;10;0;
9;11;0;
9;12;0;
9;13;0;
9;14;0;
9;15;0;
9;16;20;
10;1;0;
10;2;0;
10;3;0;
10;4;0;
10;5;0;
10;6;0;
10;7;0;
10;8;0;
10;9;0;
10;10;0;
10;11;0;
10;12;0;
10;13;0;
10;14;0;
10;15;0;
10;16;20;
11;1;0;
11;2;0;
11;3;0;
11;4;0;
11;5;0;
11;6;0;
11;7;0;
11;8;0;
11;9;0;
11;10;0;
11;11;0;
11;12;0;
11;13;0;
11;14;0;
11;15;0;
11;16;20;
12;1;0;
12;2;0;
12;3;0;
12;4;0;
12;5;0;
12;6;0;
12;7;0;
12;8;0;
12;9;0;
12;10;0;
12;11;0;
12;12;0;
12;13;0;
12;14;0;
12;15;0;
12;16;20;
13;1;0;
13;2;0;
13;3;0;
13;4;0;
13;5;0;
13;6;0;
13;7;0;
13;8;0;
13;9;0;
13;10;0;
13;11;0;
13;12;0;
13;13;0;
13;14;0;
13;15;0;
13;16;20;
14;1;0;
14;2;0;
14;3;0;
14;4;0;
14;5;0;
14;6;0;
14;7;0;
14;8;0;
14;9;0;
14;10;0;
14;11;0;
14;12;0;
14;13;0;
14;14;0;
14;15;0;
14;16;20;
15;1;0;
15;2;0;
15;3;0;
15;4;0;
15;5;0;
15;6;0;
15;7;0;
15;8;0;
15;9;0;
15;10;0;
15;11;0;
15;12;0;
15;13;0;
15;14;0;
15;15;0;
15;16;20;
16;1;0;
16;2;0;
16;3;0;
16;4;0;
16;5;0;
16;6;0;
16;7;0;
16;8;0;
16;9;0;
16;10;0;
16;11;0;
16;12;0;
16;13;0;
16;14;0;
16;15;0;
16;16;20;
17;1;0;
17;2;0;
17;3;0;
17;4;0;
17;5;0;
17;6;0;
17;7;0;
17;8;0;
17;9;0;
17;10;0;
17;11;0;
17;12;0;
17;13;0;
17;14;0;
17;15;0;
17;16;20;
18;1;0;
18;2;0;
18;3;0;
18;4;0;
18;5;0;
18;6;0;
18;7;0;
18;8;0;
18;9;0;
18;10;0;
18;11;0;
18;12;0;
18;13;0;
18;14;0;
18;15;0;
18;16;20;
19;1;0;
19;2;0;
19;3;0;
19;4;0;
19;5;0;
19;6;0;
19;7;0;
19;8;0;
19;9;0;
19;10;0;
19;11;0;
19;12;0;
19;13;0;
19;14;0;
19;15;0;
19;16;20;
20;1;0;
20;2;0;
20;3;0;
20;4;0;
20;5;0;
20;6;0;
20;7;0;
20;8;0;
20;9;0;
20;10;0;
20;11;0;
20;12;0;
20;13;0;
20;14;0;
20;15;0;
20;16;20;
21;1;0;
21;2;0;
21;3;0;
21;4;0;
21;5;0;
21;6;0;
21;7;0;
21;8;0;
21;9;0;
21;10;0;
21;11;0;
21;12;0;
21;13;0;
21;14;0;
21;15;0;
21;16;20;
22;1;0;
22;2;0;
22;3;0;
22;4;0;
22;5;0;
22;6;0;
22;7;0;
22;8;0;
22;9;0;
22;10;0;
22;11;0;
22;12;0;
22;13;0;
22;14;0;
22;15;0;
22;16;20;
23;1;0;
23;2;0;
23;3;0;
23;4;0;
23;5;0;
23;6;0;
23;7;0;
23;8;0;
23;9;0;
23;10;0;
23;11;0;
23;12;0;
23;13;0;
23;14;0;
23;15;0;
23;16;20;
24;1;0;
24;2;0;
24;3;0;
24;4;0;
24;5;0;
24;6;0;
24;7;0;
24;8;0;
24;9;0;
24;10;0;
24;11;0;
24;12;0;
24;13;0;
24;14;0;
24;15;0;
24;16;20;
25;1;0;
25;2;0;
25;3;0;
25;4;0;
25;5;0;
25;6;0;
25;7;0;
25;8;0;
25;9;0;
25;10;0;
25;11;0;
25;12;0;
25;13;0;
25;14;0;
25;15;0;
25;16;20;
26;1;0;
26;2;0;
26;3;0;
26;4;0;
26;5;0;
26;6;0;
26;7;0;
26;8;0;
26;9;0;
26;10;0;
26;11;0;
26;12;0;
26;13;0;
26;14;0;
26;15;0;
26;16;20;
