id_od;id_path;paths;start;end
1;1;,571,561,330,470,520,550,;571;550
1;2;,571,561,581,591,601,330,470,520,550,;571;550
2;3;,571,561,191,171,121,101,81,71,11,541,;571;541
2;4;,571,561,581,591,601,191,171,121,51,41,11,541,;571;541
3;5;,551,521,471,331,560,570,;551;570
3;6;,551,521,611,621,631,471,331,560,570,;551;570
4;7;,540,10,580,590,600,70,80,100,150,170,190,560,570,;540;570
4;8;,540,10,70,80,100,120,170,190,560,570,;540;570
5;9;,540,10,70,200,340,480,500,520,550,;540;550
5;10;,540,10,70,80,210,350,420,440,520,550,;540;550
5;11;,540,10,580,590,600,70,80,210,350,420,440,520,550,;540;550
6;12;,551,521,441,421,351,211,81,71,11,541,;551;541
6;13;,551,521,611,621,631,441,421,351,211,81,71,11,541,;551;541
6;14;,551,521,501,481,341,201,71,11,541,;551;541
7;15;,640,40,50,120,170,250,320,390,520,550,;640;550
8;16;,640,40,50,120,170,190,560,570,;640;570
9;17;,640,40,50,120,170,190,560,581,591,601,191,171,121,51,41,11,541,;640;541
10;18;,640,40,50,120,170,190,560,581,591,601,191,171,121,51,41,641,;640;641
11;19;,640,40,50,120,170,190,560,581,591,601,191,171,121,51,651,;640;651
12;20;,650,50,120,170,250,320,390,520,550,;650;550
13;21;,650,50,120,170,190,560,570,;650;570
14;22;,650,50,120,170,190,560,581,591,601,191,171,121,51,41,11,541,;650;541
15;23;,650,50,120,170,190,560,581,591,601,191,171,121,51,41,641,;650;641
16;24;,650,50,120,170,190,560,581,591,601,191,171,121,51,651,;650;651
17;25;,660,500,520,550,;660;550
18;26;,660,500,520,611,621,631,471,331,560,570,;660;570
19;27;,660,500,520,611,621,631,391,321,251,171,121,51,651,;660;651
20;28;,660,500,520,611,621,631,441,421,351,211,81,71,11,541,;660;541
21;29;,660,500,520,611,621,631,391,321,251,171,121,51,41,641,;660;641
22;30;,571,561,191,171,121,51,651,;571;651
23;31;,571,561,191,171,121,51,41,641,;571;641
24;32;,551,521,501,661,;551;661
25;33;,551,521,391,321,251,171,121,51,651,;551;651
26;34;,551,521,391,321,251,171,121,51,41,641,;551;641
