id_od;energy_level;0;
1;1;0;100
1;2;0;
1;3;3;
1;4;3;
1;5;3;
1;6;3;
1;7;4;
1;8;16;
1;9;3;
1;10;3;
1;11;3;
1;12;3;
1;13;6;
1;14;4;
1;15;4;
1;16;4;
1;17;4;
1;18;4;
1;19;4;
1;20;4;
1;21;4;
1;22;4;
1;23;4;
1;24;4;
1;25;6;
2;1;0;100
2;2;0;
2;3;1;
2;4;1;
2;5;1;
2;6;1;
2;7;1;
2;8;1;
2;9;1;
2;10;1;
2;11;1;
2;12;7;
2;13;16;
2;14;18;
2;15;4;
2;16;4;
2;17;4;
2;18;4;
2;19;4;
2;20;4;
2;21;4;
2;22;4;
2;23;4;
2;24;4;
2;25;10;
3;1;0;100
3;2;0;
3;3;3;
3;4;3;
3;5;3;
3;6;3;
3;7;4;
3;8;16;
3;9;3;
3;10;3;
3;11;3;
3;12;3;
3;13;6;
3;14;4;
3;15;4;
3;16;4;
3;17;4;
3;18;4;
3;19;4;
3;20;4;
3;21;4;
3;22;4;
3;23;4;
3;24;4;
3;25;6;
4;1;0;100
4;2;0;
4;3;1;
4;4;1;
4;5;1;
4;6;1;
4;7;1;
4;8;1;
4;9;1;
4;10;1;
4;11;1;
4;12;7;
4;13;16;
4;14;18;
4;15;4;
4;16;4;
4;17;4;
4;18;4;
4;19;4;
4;20;4;
4;21;4;
4;22;4;
4;23;4;
4;24;4;
4;25;10;
5;1;0;
5;2;0;
5;3;1;
5;4;1;
5;5;1;
5;6;1;
5;7;1;
5;8;1;
5;9;1;
5;10;1;
5;11;1;
5;12;7;
5;13;16;
5;14;9;
5;15;9;
5;16;5;
5;17;5;
5;18;5;
5;19;5;
5;20;5;
5;21;5;
5;22;5;
5;23;5;
5;24;5;
5;25;5;
6;1;0;100
6;2;0;
6;3;1;
6;4;1;
6;5;1;
6;6;1;
6;7;1;
6;8;1;
6;9;1;
6;10;1;
6;11;1;
6;12;1;
6;13;1;
6;14;5;
6;15;16;
6;16;18;
6;17;5;
6;18;5;
6;19;5;
6;20;5;
6;21;5;
6;22;5;
6;23;5;
6;24;5;
6;25;10;
