id_od;id_path;paths;start;end
1;1;,571,561,270,330,400,470,530,550,;571;550
1;2;,571,561,581,591,601,270,330,400,470,530,550,;571;550
2;3;,571,561,191,181,171,161,151,101,91,81,71,11,541,;571;541
2;4;,571,561,191,181,171,121,111,101,91,81,71,11,541,;571;541
2;5;,571,561,191,181,171,121,61,51,41,31,21,11,541,;571;541
2;6;,571,561,581,591,601,191,181,171,121,61,51,41,31,21,11,541,;571;541
3;7;,551,531,471,401,331,271,560,570,;551;570
3;8;,551,531,611,621,631,471,401,331,271,560,570,;551;570
4;9;,540,10,580,590,600,70,80,90,100,150,160,170,180,190,560,570,;540;570
4;10;,540,10,70,80,90,100,110,120,170,180,190,560,570,;540;570
4;11;,540,10,20,30,40,50,60,120,170,180,190,560,570,;540;570
5;12;,540,10,20,30,40,50,60,120,170,250,320,390,460,530,550,;540;550
5;13;,540,10,70,130,200,280,340,410,480,490,500,510,520,530,550,;540;550
5;14;,540,10,70,80,140,210,290,350,420,430,440,450,530,550,;540;550
5;15;,540,10,70,80,140,210,220,230,310,320,390,460,530,550,;540;550
5;16;,540,10,580,590,600,70,80,140,210,220,230,310,320,390,460,530,550,;540;550
5;17;,540,10,580,590,600,70,80,140,210,290,350,420,430,440,450,530,550,;540;550
6;18;,551,531,461,391,321,311,231,151,101,91,81,71,11,541,;551;541
6;19;,551,531,451,441,431,421,351,291,211,141,81,71,11,541,;551;541
6;20;,551,531,611,621,631,461,391,321,311,231,151,101,91,81,71,11,541,;551;541
6;21;,551,531,611,621,631,451,441,431,421,351,291,211,141,81,71,11,541,;551;541
6;22;,551,531,521,511,501,491,481,411,341,281,201,131,71,11,541,;551;541
6;23;,551,531,461,391,321,251,171,121,61,51,41,31,21,11,541,;551;541
